Tract_name,id,total,,Hispanic or Latino,,White,,Black or African American,,American Indian and Alaska Native,,Asian,,Native Hawaiian and Other Pacific Islander,,Other Race,,Two or More Races,Non-White,Black or Hispanic
Census Tract 7202,7202,4016,166,0.0413347,1496,0.3725100,2227,0.5545319,10,0.0024900,18,0.0044821,1,0.0002490,13,0.0032371,85,0.0211653,0.6274900,0.5958665
Census Tract 7203,7203,3723,197,0.0529143,2340,0.6285254,1084,0.2911630,2,0.0005372,35,0.0094010,5,0.0013430,9,0.0024174,51,0.0136986,0.3714746,0.3440774
Census Tract 7204,7204,1924,131,0.0680873,1631,0.8477131,129,0.0670478,7,0.0036383,9,0.0046778,0,0.0000000,0,0.0000000,17,0.0088358,0.1522869,0.1351351
Census Tract 7205,7205,2166,101,0.0466297,1978,0.9132041,63,0.0290859,2,0.0009234,7,0.0032318,0,0.0000000,1,0.0004617,14,0.0064635,0.0867959,0.0757156
Census Tract 7206,7206,1756,60,0.0341686,1352,0.7699317,303,0.1725513,0,0.0000000,12,0.0068337,0,0.0000000,1,0.0005695,28,0.0159453,0.2300683,0.2067198
Census Tract 7207,7207,3149,112,0.0355668,1009,0.3204192,1933,0.6138457,2,0.0006351,18,0.0057161,3,0.0009527,2,0.0006351,70,0.0222293,0.6795808,0.6494125
Census Tract 7301,7301,2424,21,0.0086634,7,0.0028878,2357,0.9723597,4,0.0016502,0,0.0000000,0,0.0000000,0,0.0000000,35,0.0144389,0.9971122,0.9810231
Census Tract 7302.01,7302.01,5941,39,0.0065646,11,0.0018515,5821,0.9798014,4,0.0006733,2,0.0003366,0,0.0000000,3,0.0005050,61,0.0102676,0.9981485,0.9863659
Census Tract 7302.02,7302.02,3115,21,0.0067416,12,0.0038523,3047,0.9781701,1,0.0003210,3,0.0009631,0,0.0000000,2,0.0006421,29,0.0093098,0.9961477,0.9849117
Census Tract 7303,7303,1166,3,0.0025729,4,0.0034305,1152,0.9879931,0,0.0000000,1,0.0008576,0,0.0000000,0,0.0000000,6,0.0051458,0.9965695,0.9905660
Census Tract 7304,7304,3514,44,0.0125213,26,0.0073990,3392,0.9652817,1,0.0002846,0,0.0000000,0,0.0000000,10,0.0028458,41,0.0116676,0.9926010,0.9778031
Census Tract 7305,7305,4388,57,0.0129900,15,0.0034184,4266,0.9721969,17,0.0038742,4,0.0009116,0,0.0000000,2,0.0004558,27,0.0061531,0.9965816,0.9851869
Census Tract 7306,7306,3614,53,0.0146652,35,0.0096846,3487,0.9648589,9,0.0024903,1,0.0002767,4,0.0011068,1,0.0002767,24,0.0066408,0.9903154,0.9795241
Census Tract 7307,7307,2331,20,0.0085800,11,0.0047190,2271,0.9742600,0,0.0000000,1,0.0004290,0,0.0000000,0,0.0000000,28,0.0120120,0.9952810,0.9828400
Census Tract 7401,7401,3048,275,0.0902231,2692,0.8832021,42,0.0137795,3,0.0009843,14,0.0045932,0,0.0000000,0,0.0000000,22,0.0072178,0.1167979,0.1040026
Census Tract 7402,7402,6547,513,0.0783565,5596,0.8547426,323,0.0493356,9,0.0013747,50,0.0076371,3,0.0004582,2,0.0003055,51,0.0077898,0.1452574,0.1276921
Census Tract 7403,7403,4713,306,0.0649268,4301,0.9125822,53,0.0112455,13,0.0027583,22,0.0046679,0,0.0000000,1,0.0002122,17,0.0036070,0.0874178,0.0761723
Census Tract 7404,7404,4785,288,0.0601881,3824,0.7991641,569,0.1189133,9,0.0018809,40,0.0083595,0,0.0000000,3,0.0006270,52,0.0108673,0.2008359,0.1791014
Census Tract 7501,7501,4147,39,0.0094044,30,0.0072341,4021,0.9696166,1,0.0002411,10,0.0024114,0,0.0000000,2,0.0004823,44,0.0106101,0.9927659,0.9790210
Census Tract 7502,7502,3227,117,0.0362566,1206,0.3737217,1809,0.5605826,1,0.0003099,34,0.0105361,0,0.0000000,8,0.0024791,52,0.0161140,0.6262783,0.5968392
Census Tract 7503,7503,2530,100,0.0395257,2192,0.8664032,207,0.0818182,2,0.0007905,12,0.0047431,0,0.0000000,0,0.0000000,17,0.0067194,0.1335968,0.1213439
Census Tract 7504,7504,3009,152,0.0505151,1922,0.6387504,868,0.2884679,1,0.0003323,15,0.0049850,0,0.0000000,5,0.0016617,46,0.0152875,0.3612496,0.3389831
Census Tract 7505,7505,5936,157,0.0264488,1096,0.1846361,4569,0.7697102,4,0.0006739,18,0.0030323,0,0.0000000,5,0.0008423,87,0.0146563,0.8153639,0.7961590
Census Tract 7506,7506,3681,54,0.0146699,13,0.0035316,3565,0.9684868,2,0.0005433,3,0.0008150,8,0.0021733,4,0.0010867,32,0.0086933,0.9964684,0.9831568
Census Tract 7608.01,7608.01,4047,380,0.0938967,2731,0.6748209,225,0.0555967,2,0.0004942,608,0.1502347,2,0.0004942,19,0.0046948,80,0.0197677,0.3251791,0.1494935
Census Tract 7608.02,7608.02,2276,133,0.0584359,2072,0.9103691,5,0.0021968,0,0.0000000,53,0.0232865,0,0.0000000,0,0.0000000,13,0.0057118,0.0896309,0.0606327
Census Tract 7608.03,7608.03,6236,680,0.1090443,4900,0.7857601,159,0.0254971,13,0.0020847,382,0.0612572,0,0.0000000,5,0.0008018,97,0.0155548,0.2142399,0.1345414
Census Tract 7702.01,7702.01,5894,683,0.1158806,4258,0.7224296,147,0.0249406,3,0.0005090,720,0.1221581,0,0.0000000,2,0.0003393,81,0.0137428,0.2775704,0.1408212
Census Tract 7702.02,7702.02,4912,380,0.0773616,4186,0.8521987,50,0.0101792,6,0.0012215,225,0.0458062,2,0.0004072,0,0.0000000,63,0.0128257,0.1478013,0.0875407
Census Tract 7703,7703,7313,789,0.1078901,5914,0.8086968,78,0.0106659,16,0.0021879,404,0.0552441,0,0.0000000,15,0.0020511,97,0.0132641,0.1913032,0.1185560
Census Tract 7704,7704,4505,840,0.1864595,3006,0.6672586,94,0.0208657,7,0.0015538,458,0.1016648,1,0.0002220,6,0.0013319,93,0.0206437,0.3327414,0.2073252
Census Tract 7705,7705,4078,2920,0.7160373,1032,0.2530652,50,0.0122609,8,0.0019617,16,0.0039235,1,0.0002452,4,0.0009809,47,0.0115253,0.7469348,0.7282982
Census Tract 7706.01,7706.01,3232,412,0.1274752,2475,0.7657797,28,0.0086634,7,0.0021658,264,0.0816832,0,0.0000000,3,0.0009282,43,0.0133045,0.2342203,0.1361386
Census Tract 7706.02,7706.02,4956,2301,0.4642857,2121,0.4279661,54,0.0108959,9,0.0018160,431,0.0869653,0,0.0000000,2,0.0004036,38,0.0076675,0.5720339,0.4751816
Census Tract 7707,7707,2681,513,0.1913465,2021,0.7538232,24,0.0089519,6,0.0022380,66,0.0246177,0,0.0000000,2,0.0007460,49,0.0182768,0.2461768,0.2002984
Census Tract 7708,7708,5582,1281,0.2294876,3774,0.6761018,94,0.0168398,13,0.0023289,361,0.0646722,0,0.0000000,14,0.0025081,45,0.0080616,0.3238982,0.2463275
Census Tract 7709.01,7709.01,4934,387,0.0784353,4158,0.8427240,15,0.0030401,2,0.0004054,321,0.0650588,0,0.0000000,2,0.0004054,49,0.0099311,0.1572760,0.0814755
Census Tract 7709.02,7709.02,3521,203,0.0576541,3109,0.8829878,35,0.0099404,1,0.0002840,148,0.0420335,0,0.0000000,2,0.0005680,23,0.0065322,0.1170122,0.0675944
Census Tract 8001,8001,2419,62,0.0256304,2285,0.9446052,10,0.0041339,1,0.0004134,50,0.0206697,0,0.0000000,2,0.0008268,9,0.0037205,0.0553948,0.0297644
Census Tract 8002,8002,6312,170,0.0269328,5739,0.9092205,97,0.0153676,4,0.0006337,190,0.0301014,1,0.0001584,11,0.0017427,100,0.0158428,0.0907795,0.0423004
Census Tract 8003,8003,3501,75,0.0214225,3262,0.9317338,13,0.0037132,6,0.0017138,116,0.0331334,0,0.0000000,6,0.0017138,23,0.0065696,0.0682662,0.0251357
Census Tract 8004,8004,3762,76,0.0202020,3505,0.9316853,11,0.0029240,3,0.0007974,111,0.0295056,3,0.0007974,1,0.0002658,52,0.0138224,0.0683147,0.0231260
Census Tract 8005,8005,4901,125,0.0255050,4542,0.9267496,6,0.0012242,0,0.0000000,166,0.0338706,0,0.0000000,7,0.0014283,55,0.0112222,0.0732504,0.0267292
Census Tract 8006,8006,2400,36,0.0150000,2310,0.9625000,6,0.0025000,0,0.0000000,33,0.0137500,0,0.0000000,0,0.0000000,15,0.0062500,0.0375000,0.0175000
Census Tract 8007,8007,5135,157,0.0305745,4490,0.8743914,17,0.0033106,0,0.0000000,369,0.0718598,4,0.0007790,6,0.0011685,92,0.0179163,0.1256086,0.0338851
Census Tract 8008,8008,2206,72,0.0326383,1863,0.8445150,17,0.0077063,1,0.0004533,234,0.1060743,1,0.0004533,4,0.0018132,14,0.0063463,0.1554850,0.0403445
Census Tract 8009,8009,4416,266,0.0602355,2763,0.6256793,60,0.0135870,1,0.0002264,1198,0.2712862,0,0.0000000,6,0.0013587,122,0.0276268,0.3743207,0.0738225
Census Tract 8010,8010,4908,162,0.0330073,3796,0.7734311,37,0.0075387,0,0.0000000,811,0.1652404,0,0.0000000,18,0.0036675,84,0.0171149,0.2265689,0.0405460
Census Tract 8011,8011,4715,117,0.0248144,4215,0.8939555,29,0.0061506,7,0.0014846,212,0.0449629,1,0.0002121,20,0.0042418,114,0.0241782,0.1060445,0.0309650
Census Tract 8012,8012,3547,47,0.0132506,3352,0.9450240,14,0.0039470,0,0.0000000,98,0.0276290,0,0.0000000,5,0.0014096,31,0.0087398,0.0549760,0.0171976
Census Tract 8013,8013,4283,152,0.0354891,3789,0.8846603,52,0.0121410,2,0.0004670,206,0.0480971,2,0.0004670,7,0.0016344,73,0.0170441,0.1153397,0.0476302
Census Tract 8014,8014,2919,103,0.0352861,2291,0.7848578,45,0.0154162,2,0.0006852,422,0.1445701,0,0.0000000,11,0.0037684,45,0.0154162,0.2151422,0.0507023
Census Tract 8015,8015,5928,185,0.0312078,5112,0.8623482,92,0.0155196,1,0.0001687,463,0.0781039,3,0.0005061,10,0.0016869,62,0.0104588,0.1376518,0.0467274
Census Tract 8016.01,8016.01,4234,123,0.0290505,3561,0.8410487,12,0.0028342,0,0.0000000,496,0.1171469,1,0.0002362,2,0.0004724,39,0.0092111,0.1589513,0.0318847
Census Tract 8016.03,8016.03,3855,330,0.0856031,2165,0.5616083,131,0.0339818,0,0.0000000,1139,0.2954604,5,0.0012970,6,0.0015564,79,0.0204929,0.4383917,0.1195850
Census Tract 8016.05,8016.05,5599,112,0.0200036,4737,0.8460439,21,0.0037507,2,0.0003572,674,0.1203786,0,0.0000000,5,0.0008930,48,0.0085730,0.1539561,0.0237542
Census Tract 8016.06,8016.06,6066,130,0.0214309,5038,0.8305308,39,0.0064293,5,0.0008243,795,0.1310584,0,0.0000000,1,0.0001649,58,0.0095615,0.1694692,0.0278602
Census Tract 8016.07,8016.07,5287,201,0.0380178,3645,0.6894269,60,0.0113486,2,0.0003783,1297,0.2453187,0,0.0000000,10,0.0018914,72,0.0136183,0.3105731,0.0493664
Census Tract 8016.08,8016.08,6564,150,0.0228519,5091,0.7755941,33,0.0050274,1,0.0001523,1234,0.1879951,0,0.0000000,7,0.0010664,48,0.0073126,0.2244059,0.0278793
Census Tract 8017.01,8017.01,3728,104,0.0278970,3257,0.8736588,1,0.0002682,2,0.0005365,313,0.0839592,0,0.0000000,3,0.0008047,48,0.0128755,0.1263412,0.0281652
Census Tract 8017.02,8017.02,4671,113,0.0241918,4064,0.8700492,15,0.0032113,0,0.0000000,417,0.0892742,0,0.0000000,0,0.0000000,62,0.0132734,0.1299508,0.0274031
Census Tract 8018,8018,5619,163,0.0290087,4921,0.8757786,44,0.0078306,1,0.0001780,429,0.0763481,1,0.0001780,5,0.0008898,55,0.0097882,0.1242214,0.0368393
Census Tract 8019.01,8019.01,4369,649,0.1485466,3252,0.7443351,70,0.0160220,4,0.0009155,338,0.0773632,2,0.0004578,8,0.0018311,46,0.0105287,0.2556649,0.1645686
Census Tract 8019.02,8019.02,3223,116,0.0359913,2895,0.8982315,4,0.0012411,0,0.0000000,172,0.0533664,1,0.0003103,0,0.0000000,35,0.0108594,0.1017685,0.0372324
Census Tract 8020.02,8020.02,5071,260,0.0512719,4132,0.8148294,44,0.0086768,4,0.0007888,575,0.1133899,2,0.0003944,2,0.0003944,52,0.0102544,0.1851706,0.0599487
Census Tract 8020.03,8020.03,2684,455,0.1695231,1727,0.6434426,37,0.0137854,0,0.0000000,438,0.1631893,0,0.0000000,0,0.0000000,27,0.0100596,0.3565574,0.1833085
Census Tract 8020.04,8020.04,5381,1002,0.1862107,2759,0.5127300,181,0.0336369,3,0.0005575,1368,0.2542278,0,0.0000000,1,0.0001858,67,0.0124512,0.4872700,0.2198476
Census Tract 8021,8021,3573,107,0.0299468,3240,0.9068010,20,0.0055975,3,0.0008396,140,0.0391828,6,0.0016793,5,0.0013994,52,0.0145536,0.0931990,0.0355444
Census Tract 8022,8022,4410,149,0.0337868,3998,0.9065760,17,0.0038549,8,0.0018141,181,0.0410431,0,0.0000000,2,0.0004535,55,0.0124717,0.0934240,0.0376417
Census Tract 8023,8023,4840,238,0.0491736,3683,0.7609504,104,0.0214876,2,0.0004132,702,0.1450413,1,0.0002066,8,0.0016529,102,0.0210744,0.2390496,0.0706612
Census Tract 8024.02,8024.02,4821,1527,0.3167393,2687,0.5573532,76,0.0157644,1,0.0002074,485,0.1006015,0,0.0000000,3,0.0006223,42,0.0087119,0.4426468,0.3325036
Census Tract 8024.03,8024.03,1399,55,0.0393138,1162,0.8305933,16,0.0114367,3,0.0021444,142,0.1015011,0,0.0000000,1,0.0007148,20,0.0142959,0.1694067,0.0507505
Census Tract 8024.04,8024.04,7226,2578,0.3567672,3651,0.5052588,162,0.0224190,10,0.0013839,704,0.0974260,1,0.0001384,21,0.0029062,99,0.0137005,0.4947412,0.3791863
Census Tract 8025.03,8025.03,6200,824,0.1329032,3853,0.6214516,100,0.0161290,7,0.0011290,1324,0.2135484,0,0.0000000,1,0.0001613,91,0.0146774,0.3785484,0.1490323
Census Tract 8025.04,8025.04,6601,2702,0.4093319,3222,0.4881079,88,0.0133313,9,0.0013634,509,0.0771095,0,0.0000000,12,0.0018179,59,0.0089380,0.5118921,0.4226632
Census Tract 8025.05,8025.05,6844,3468,0.5067212,2315,0.3382525,222,0.0324372,5,0.0007306,759,0.1109001,0,0.0000000,5,0.0007306,70,0.0102279,0.6617475,0.5391584
Census Tract 8025.06,8025.06,2508,1284,0.5119617,985,0.3927432,43,0.0171451,2,0.0007974,163,0.0649920,1,0.0003987,0,0.0000000,30,0.0119617,0.6072568,0.5291069
Census Tract 8026.05,8026.05,6799,368,0.0541256,5409,0.7955582,77,0.0113252,3,0.0004412,878,0.1291366,2,0.0002942,0,0.0000000,62,0.0091190,0.2044418,0.0654508
Census Tract 8026.07,8026.07,1444,74,0.0512465,1296,0.8975069,3,0.0020776,0,0.0000000,59,0.0408587,0,0.0000000,0,0.0000000,12,0.0083102,0.1024931,0.0533241
Census Tract 8026.08,8026.08,6256,250,0.0399616,5511,0.8809143,55,0.0087916,5,0.0007992,376,0.0601023,1,0.0001598,0,0.0000000,58,0.0092711,0.1190857,0.0487532
Census Tract 8026.09,8026.09,6699,2913,0.4348410,2674,0.3991641,109,0.0162711,4,0.0005971,929,0.1386774,0,0.0000000,2,0.0002986,68,0.0101508,0.6008359,0.4511121
Census Tract 8026.10,8026.1,1729,101,0.0584153,1365,0.7894737,15,0.0086755,0,0.0000000,223,0.1289763,2,0.0011567,3,0.0017351,20,0.0115674,0.2105263,0.0670908
Census Tract 8027.01,8027.01,6952,1637,0.2354718,4271,0.6143556,101,0.0145282,15,0.0021577,822,0.1182394,2,0.0002877,6,0.0008631,98,0.0140967,0.3856444,0.2500000
Census Tract 8027.02,8027.02,4498,196,0.0435749,3426,0.7616719,86,0.0191196,1,0.0002223,734,0.1631836,0,0.0000000,7,0.0015562,48,0.0106714,0.2383281,0.0626945
Census Tract 8028.01,8028.01,4793,421,0.0878364,4111,0.8577092,39,0.0081369,1,0.0002086,166,0.0346338,1,0.0002086,2,0.0004173,52,0.0108492,0.1422908,0.0959733
Census Tract 8028.02,8028.02,6594,447,0.0677889,5371,0.8145284,95,0.0144070,0,0.0000000,553,0.0838641,0,0.0000000,8,0.0012132,120,0.0181984,0.1854716,0.0821959
Census Tract 8029,8029,6080,218,0.0358553,5589,0.9192434,19,0.0031250,1,0.0001645,188,0.0309211,0,0.0000000,3,0.0004934,62,0.0101974,0.0807566,0.0389803
Census Tract 8030.05,8030.05,2655,106,0.0399247,2281,0.8591337,23,0.0086629,1,0.0003766,221,0.0832392,0,0.0000000,0,0.0000000,23,0.0086629,0.1408663,0.0485876
Census Tract 8030.07,8030.07,5247,225,0.0428816,4521,0.8616352,35,0.0066705,2,0.0003812,400,0.0762340,3,0.0005718,1,0.0001906,60,0.0114351,0.1383648,0.0495521
Census Tract 8030.08,8030.08,4712,300,0.0636672,4005,0.8499576,60,0.0127334,3,0.0006367,293,0.0621817,0,0.0000000,4,0.0008489,47,0.0099745,0.1500424,0.0764007
Census Tract 8030.10,8030.1,5196,438,0.0842956,4266,0.8210162,49,0.0094303,1,0.0001925,353,0.0679369,0,0.0000000,14,0.0026944,75,0.0144342,0.1789838,0.0937259
Census Tract 8030.12,8030.12,2221,235,0.1058082,1563,0.7037371,59,0.0265646,1,0.0004502,329,0.1481315,0,0.0000000,3,0.0013507,31,0.0139577,0.2962629,0.1323728
Census Tract 8030.13,8030.13,5449,427,0.0783630,4500,0.8258396,34,0.0062397,6,0.0011011,363,0.0666177,14,0.0025693,10,0.0018352,95,0.0174344,0.1741604,0.0846027
Census Tract 8030.14,8030.14,3430,658,0.1918367,2378,0.6932945,36,0.0104956,2,0.0005831,308,0.0897959,0,0.0000000,15,0.0043732,33,0.0096210,0.3067055,0.2023324
Census Tract 8030.15,8030.15,4459,357,0.0800628,3708,0.8315766,74,0.0165956,2,0.0004485,280,0.0627943,0,0.0000000,1,0.0002243,37,0.0082978,0.1684234,0.0966584
Census Tract 8030.16,8030.16,1979,123,0.0621526,1428,0.7215766,49,0.0247600,0,0.0000000,350,0.1768570,0,0.0000000,2,0.0010106,27,0.0136433,0.2784234,0.0869126
Census Tract 8030.17,8030.17,6058,686,0.1132387,4527,0.7472763,116,0.0191482,3,0.0004952,640,0.1056454,3,0.0004952,2,0.0003301,81,0.0133707,0.2527237,0.1323869
Census Tract 8031,8031,3440,125,0.0363372,3144,0.9139535,26,0.0075581,1,0.0002907,91,0.0264535,0,0.0000000,9,0.0026163,44,0.0127907,0.0860465,0.0438953
Census Tract 8032,8032,5586,235,0.0420695,5075,0.9085213,47,0.0084139,3,0.0005371,172,0.0307913,0,0.0000000,0,0.0000000,54,0.0096670,0.0914787,0.0504834
Census Tract 8033,8033,5543,319,0.0575501,4588,0.8277106,59,0.0106441,13,0.0023453,474,0.0855133,1,0.0001804,11,0.0019845,78,0.0140718,0.1722894,0.0681941
Census Tract 8034,8034,6384,210,0.0328947,5749,0.9005326,64,0.0100251,2,0.0003133,278,0.0435464,0,0.0000000,8,0.0012531,73,0.0114348,0.0994674,0.0429198
Census Tract 8035,8035,5813,221,0.0380182,5299,0.9115775,21,0.0036126,2,0.0003441,201,0.0345777,0,0.0000000,1,0.0001720,68,0.0116979,0.0884225,0.0416308
Census Tract 8036.03,8036.03,6751,179,0.0265146,5312,0.7868464,73,0.0108132,2,0.0002963,1086,0.1608651,2,0.0002963,2,0.0002963,95,0.0140720,0.2131536,0.0373278
Census Tract 8036.04,8036.04,4314,395,0.0915624,3474,0.8052851,86,0.0199351,0,0.0000000,289,0.0669912,1,0.0002318,6,0.0013908,63,0.0146036,0.1947149,0.1114975
Census Tract 8036.05,8036.05,7253,1172,0.1615883,4853,0.6691024,183,0.0252309,6,0.0008272,923,0.1272577,2,0.0002757,7,0.0009651,107,0.0147525,0.3308976,0.1868192
Census Tract 8036.06,8036.06,8287,5078,0.6127670,2140,0.2582358,361,0.0435622,4,0.0004827,582,0.0702305,4,0.0004827,23,0.0027754,95,0.0114637,0.7417642,0.6563292
Census Tract 8036.07,8036.07,5164,315,0.0609992,4433,0.8584431,47,0.0091015,3,0.0005809,319,0.0617738,0,0.0000000,9,0.0017428,38,0.0073586,0.1415569,0.0701007
Census Tract 8036.08,8036.08,7326,925,0.1262626,5218,0.7122577,387,0.0528256,7,0.0009555,646,0.0881791,1,0.0001365,10,0.0013650,132,0.0180180,0.2877423,0.1790882
Census Tract 8036.10,8036.1,7198,634,0.0880800,5240,0.7279800,220,0.0305640,8,0.0011114,986,0.1369825,0,0.0000000,12,0.0016671,98,0.0136149,0.2720200,0.1186441
Census Tract 8036.11,8036.11,6112,2890,0.4728403,2385,0.3902160,250,0.0409031,14,0.0022906,474,0.0775524,2,0.0003272,10,0.0016361,87,0.0142343,0.6097840,0.5137435
Census Tract 8036.12,8036.12,3536,1390,0.3930995,1475,0.4171380,305,0.0862557,9,0.0025452,311,0.0879525,3,0.0008484,3,0.0008484,40,0.0113122,0.5828620,0.4793552
Census Tract 8037.01,8037.01,2705,217,0.0802218,2146,0.7933457,37,0.0136784,0,0.0000000,269,0.0994455,3,0.0011091,3,0.0011091,30,0.0110906,0.2066543,0.0939002
Census Tract 8037.02,8037.02,6255,502,0.0802558,5065,0.8097522,57,0.0091127,14,0.0022382,515,0.0823341,1,0.0001599,15,0.0023981,86,0.0137490,0.1902478,0.0893685
Census Tract 8038,8038,4725,501,0.1060317,3869,0.8188360,45,0.0095238,3,0.0006349,235,0.0497354,2,0.0004233,4,0.0008466,66,0.0139683,0.1811640,0.1155556
Census Tract 8039.01,8039.01,3452,325,0.0941483,2788,0.8076477,43,0.0124565,0,0.0000000,243,0.0703940,0,0.0000000,8,0.0023175,45,0.0130359,0.1923523,0.1066049
Census Tract 8039.02,8039.02,3513,489,0.1391973,2896,0.8243666,35,0.0099630,0,0.0000000,62,0.0176487,1,0.0002847,2,0.0005693,28,0.0079704,0.1756334,0.1491603
Census Tract 8040,8040,4587,659,0.1436669,3658,0.7974711,33,0.0071942,2,0.0004360,178,0.0388053,1,0.0002180,4,0.0008720,52,0.0113364,0.2025289,0.1508611
Census Tract 8041.02,8041.02,6993,213,0.0304590,5918,0.8462748,36,0.0051480,4,0.0005720,738,0.1055341,2,0.0002860,3,0.0004290,79,0.0112970,0.1537252,0.0356070
Census Tract 8041.04,8041.04,4980,214,0.0429719,3278,0.6582329,75,0.0150602,6,0.0012048,1316,0.2642570,3,0.0006024,3,0.0006024,85,0.0170683,0.3417671,0.0580321
Census Tract 8041.05,8041.05,4000,121,0.0302500,3286,0.8215000,42,0.0105000,3,0.0007500,488,0.1220000,0,0.0000000,1,0.0002500,59,0.0147500,0.1785000,0.0407500
Census Tract 8041.06,8041.06,7024,301,0.0428531,5023,0.7151196,51,0.0072608,1,0.0001424,1535,0.2185364,0,0.0000000,5,0.0007118,108,0.0153759,0.2848804,0.0501139
Census Tract 8041.08,8041.08,3879,398,0.1026038,1618,0.4171178,357,0.0920340,10,0.0025780,1408,0.3629801,2,0.0005156,1,0.0002578,85,0.0219129,0.5828822,0.1946378
Census Tract 8041.09,8041.09,2955,131,0.0443316,2530,0.8561760,44,0.0148900,2,0.0006768,204,0.0690355,0,0.0000000,0,0.0000000,44,0.0148900,0.1438240,0.0592217
Census Tract 8042.01,8042.01,8173,222,0.0271626,6390,0.7818427,72,0.0088095,11,0.0013459,1344,0.1644439,0,0.0000000,17,0.0020800,117,0.0143154,0.2181573,0.0359721
Census Tract 8042.02,8042.02,7463,319,0.0427442,5777,0.7740855,72,0.0096476,7,0.0009380,1156,0.1548975,1,0.0001340,2,0.0002680,129,0.0172853,0.2259145,0.0523918
Census Tract 8043.05,8043.05,7216,2312,0.3203991,3904,0.5410200,288,0.0399113,7,0.0009701,587,0.0813470,0,0.0000000,12,0.0016630,106,0.0146896,0.4589800,0.3603104
Census Tract 8043.06,8043.06,5564,2332,0.4191229,2870,0.5158160,126,0.0226456,7,0.0012581,165,0.0296549,1,0.0001797,1,0.0001797,62,0.0111431,0.4841840,0.4417685
Census Tract 8043.08,8043.08,5486,733,0.1336128,3266,0.5953336,230,0.0419249,6,0.0010937,1172,0.2136347,2,0.0003646,1,0.0001823,76,0.0138534,0.4046664,0.1755377
Census Tract 8043.09,8043.09,3230,1300,0.4024768,1467,0.4541796,136,0.0421053,1,0.0003096,269,0.0832817,3,0.0009288,0,0.0000000,54,0.0167183,0.5458204,0.4445820
Census Tract 8043.10,8043.1,9088,1405,0.1545995,5339,0.5874780,250,0.0275088,7,0.0007702,1891,0.2080766,0,0.0000000,20,0.0022007,176,0.0193662,0.4125220,0.1821083
Census Tract 8043.11,8043.11,8148,1570,0.1926853,4112,0.5046637,228,0.0279823,10,0.0012273,2050,0.2515955,3,0.0003682,5,0.0006136,170,0.0208640,0.4953363,0.2206676
Census Tract 8044.03,8044.03,6760,1935,0.2862426,3351,0.4957101,354,0.0523669,11,0.0016272,972,0.1437870,1,0.0001479,15,0.0022189,121,0.0178994,0.5042899,0.3386095
Census Tract 8044.04,8044.04,5233,2797,0.5344926,1781,0.3403401,156,0.0298108,4,0.0007644,445,0.0850373,0,0.0000000,8,0.0015288,42,0.0080260,0.6596599,0.5643035
Census Tract 8044.05,8044.05,3701,2146,0.5798433,744,0.2010267,545,0.1472575,2,0.0005404,204,0.0551202,3,0.0008106,6,0.0016212,51,0.0137801,0.7989733,0.7271008
Census Tract 8044.06,8044.06,6247,2928,0.4687050,2115,0.3385625,288,0.0461021,1,0.0001601,829,0.1327037,0,0.0000000,6,0.0009605,80,0.0128061,0.6614375,0.5148071
Census Tract 8045.05,8045.05,3831,552,0.1440877,2819,0.7358392,164,0.0428087,5,0.0013051,222,0.0579483,0,0.0000000,7,0.0018272,62,0.0161838,0.2641608,0.1868964
Census Tract 8045.06,8045.06,5461,477,0.0873466,3826,0.7006043,192,0.0351584,7,0.0012818,867,0.1587621,1,0.0001831,8,0.0014649,83,0.0151987,0.2993957,0.1225050
Census Tract 8045.07,8045.07,12480,1117,0.0895032,7689,0.6161058,369,0.0295673,8,0.0006410,3040,0.2435897,3,0.0002404,8,0.0006410,246,0.0197115,0.3838942,0.1190705
Census Tract 8045.08,8045.08,2244,1000,0.4456328,762,0.3395722,185,0.0824421,2,0.0008913,244,0.1087344,0,0.0000000,5,0.0022282,46,0.0204991,0.6604278,0.5280749
Census Tract 8045.09,8045.09,6288,3588,0.5706107,1735,0.2759224,269,0.0427799,8,0.0012723,621,0.0987595,1,0.0001590,6,0.0009542,60,0.0095420,0.7240776,0.6133906
Census Tract 8045.10,8045.1,6145,4668,0.7596420,1093,0.1778682,167,0.0271766,7,0.0011391,166,0.0270138,0,0.0000000,9,0.0014646,35,0.0056957,0.8221318,0.7868186
Census Tract 8045.11,8045.11,2414,1457,0.6035626,436,0.1806131,130,0.0538525,1,0.0004143,356,0.1474731,0,0.0000000,12,0.0049710,22,0.0091135,0.8193869,0.6574151
Census Tract 8046.03,8046.03,5581,1531,0.2743236,2447,0.4384519,367,0.0657588,11,0.0019710,1120,0.2006809,3,0.0005375,5,0.0008959,97,0.0173804,0.5615481,0.3400824
Census Tract 8046.06,8046.06,7118,318,0.0446755,5631,0.7910930,62,0.0087103,7,0.0009834,1015,0.1425962,1,0.0001405,0,0.0000000,84,0.0118011,0.2089070,0.0533858
Census Tract 8046.07,8046.07,7049,349,0.0495106,5280,0.7490424,169,0.0239750,8,0.0011349,1124,0.1594552,0,0.0000000,6,0.0008512,113,0.0160306,0.2509576,0.0734856
Census Tract 8046.08,8046.08,3787,432,0.1140745,2286,0.6036440,179,0.0472670,6,0.0015844,808,0.2133615,0,0.0000000,7,0.0018484,69,0.0182202,0.3963560,0.1613414
