Tract_name,id,total,,Hispanic or Latino,,White,,Black or African American,,American Indian and Alaska Native,,Asian,,Native Hawaiian and Other Pacific Islander,,Other Race,,Two or More Races,Non-White,Black or Hispanic
Census Tract 2004.02,2004.02,4396,4058,0.9231119,136,0.0309372,149,0.0338944,1,0.0002275,23,0.0052320,0,0.0000000,4,0.0009099,25,0.0056870,0.9690628,0.9570064
Census Tract 2101,2101,4028,2189,0.5434459,1426,0.3540218,87,0.0215988,6,0.0014896,225,0.0558590,0,0.0000000,10,0.0024826,85,0.0211023,0.6459782,0.5650447
Census Tract 2104,2104,3035,2275,0.7495881,631,0.2079077,49,0.0161450,4,0.0013180,53,0.0174629,0,0.0000000,2,0.0006590,21,0.0069193,0.7920923,0.7657331
Census Tract 2105.01,2105.01,3900,2459,0.6305128,1266,0.3246154,83,0.0212821,2,0.0005128,62,0.0158974,0,0.0000000,3,0.0007692,25,0.0064103,0.6753846,0.6517949
Census Tract 2105.02,2105.02,4486,2967,0.6613910,1314,0.2929113,72,0.0160499,4,0.0008917,73,0.0162728,0,0.0000000,9,0.0020062,47,0.0104770,0.7070887,0.6774409
Census Tract 2106.01,2106.01,3104,2164,0.6971649,685,0.2206830,87,0.0280284,13,0.0041881,120,0.0386598,0,0.0000000,8,0.0025773,27,0.0086985,0.7793170,0.7251933
Census Tract 2106.02,2106.02,4683,3487,0.7446082,878,0.1874867,183,0.0390775,9,0.0019218,68,0.0145206,0,0.0000000,6,0.0012812,52,0.0111040,0.8125133,0.7836857
Census Tract 2107,2107,4309,2772,0.6433047,1220,0.2831283,114,0.0264563,8,0.0018566,129,0.0299373,2,0.0004641,15,0.0034811,49,0.0113715,0.7168717,0.6697610
Census Tract 2108,2108,1196,856,0.7157191,298,0.2491639,16,0.0133779,2,0.0016722,14,0.0117057,0,0.0000000,0,0.0000000,10,0.0083612,0.7508361,0.7290970
Census Tract 2109,2109,3068,1631,0.5316167,1142,0.3722295,112,0.0365059,3,0.0009778,114,0.0371578,0,0.0000000,7,0.0022816,59,0.0192308,0.6277705,0.5681226
Census Tract 2203,2203,2102,762,0.3625119,1170,0.5566127,79,0.0375833,2,0.0009515,58,0.0275928,0,0.0000000,7,0.0033302,24,0.0114177,0.4433873,0.4000951
Census Tract 2204,2204,2495,899,0.3603206,1390,0.5571142,63,0.0252505,2,0.0008016,81,0.0324649,2,0.0008016,7,0.0028056,51,0.0204409,0.4428858,0.3855711
Census Tract 2205,2205,2626,842,0.3206398,1468,0.5590251,144,0.0548363,1,0.0003808,101,0.0384615,0,0.0000000,8,0.0030465,62,0.0236101,0.4409749,0.3754760
Census Tract 2206.01,2206.01,1766,871,0.4932050,726,0.4110985,99,0.0560589,4,0.0022650,38,0.0215176,0,0.0000000,0,0.0000000,28,0.0158550,0.5889015,0.5492639
Census Tract 2206.02,2206.02,5064,2363,0.4666272,2109,0.4164692,337,0.0665482,20,0.0039494,146,0.0288310,2,0.0003949,15,0.0029621,72,0.0142180,0.5835308,0.5331754
Census Tract 2207.01,2207.01,3437,2701,0.7858598,577,0.1678790,88,0.0256037,1,0.0002910,30,0.0087285,1,0.0002910,4,0.0011638,35,0.0101833,0.8321210,0.8114635
Census Tract 2207.02,2207.02,4060,2942,0.7246305,794,0.1955665,215,0.0529557,7,0.0017241,52,0.0128079,6,0.0014778,15,0.0036946,29,0.0071429,0.8044335,0.7775862
Census Tract 2209.01,2209.01,3498,2813,0.8041738,297,0.0849057,312,0.0891938,8,0.0022870,29,0.0082905,0,0.0000000,16,0.0045740,23,0.0065752,0.9150943,0.8933676
Census Tract 2209.02,2209.02,3371,2833,0.8404034,397,0.1177692,92,0.0272916,3,0.0008899,17,0.0050430,0,0.0000000,10,0.0029665,19,0.0056363,0.8822308,0.8676950
Census Tract 2210,2210,2923,2072,0.7088608,567,0.1939788,226,0.0773178,2,0.0006842,31,0.0106055,0,0.0000000,5,0.0017106,20,0.0068423,0.8060212,0.7861786
Census Tract 2211,2211,4870,2703,0.5550308,1560,0.3203285,462,0.0948665,5,0.0010267,66,0.0135524,2,0.0004107,5,0.0010267,67,0.0137577,0.6796715,0.6498973
Census Tract 2212,2212,2860,1248,0.4363636,1296,0.4531469,181,0.0632867,1,0.0003497,85,0.0297203,1,0.0003497,3,0.0010490,45,0.0157343,0.5468531,0.4996503
